Instance,vCPU,RAM,CPU_Emissions,RAM_Emissions,Storage_Emissions,Total_Emissions,Hourly_Emissions,RAMWatt_100,Manufacturing Footprint (kgCO2eq),Yearly TEC (kWh),Region,Region_CO2_Intensity,PUE
m4.large,2,8.0,100.0,332.9,0.0,1432.9,1.2,4.8,1230.0,1628.1,us-east-1,415.755,1.2
m4.large,2,8.0,100.0,332.9,0.0,1432.9,1.2,4.8,724.0,2872.4,us-east-1,415.755,1.2
m5a.large,2,8.0,100.0,510.4,0.0,1610.4,1.0,4.8,1230.0,1628.1,us-east-1,415.755,1.2
m5a.large,2,8.0,100.0,510.4,0.0,1610.4,1.0,4.8,724.0,2872.4,us-east-1,415.755,1.2
m5ad.large,2,8.0,100.0,510.4,400.0,2010.4,1.2,4.8,1230.0,1628.1,us-east-1,415.755,1.2
m5ad.large,2,8.0,100.0,510.4,400.0,2010.4,1.2,4.8,724.0,2872.4,us-east-1,415.755,1.2
m6g.large,2,8.0,0.0,332.9,0.0,1332.9,1.2,4.8,1230.0,1628.1,us-east-1,415.755,1.2
m6g.large,2,8.0,0.0,332.9,0.0,1332.9,1.2,4.8,724.0,2872.4,us-east-1,415.755,1.2
m6gd.large,2,8.0,0.0,332.9,200.0,1532.9,1.4,4.8,1230.0,1628.1,us-east-1,415.755,1.2
m6gd.large,2,8.0,0.0,332.9,200.0,1532.9,1.4,4.8,724.0,2872.4,us-east-1,415.755,1.2
m6i.large,2,8.0,100.0,687.9,0.0,1787.9,0.8,4.8,1230.0,1628.1,us-east-1,415.755,1.2
m6i.large,2,8.0,100.0,687.9,0.0,1787.9,0.8,4.8,724.0,2872.4,us-east-1,415.755,1.2
r5a.large,2,16.0,100.0,1042.9,0.0,2142.9,1.3,9.6,1207.0,2767.722,us-east-1,415.755,1.2
r5a.large,2,16.0,100.0,1042.9,0.0,2142.9,1.3,9.6,1573.0,947.8,us-east-1,415.755,1.2
r5a.large,2,16.0,100.0,1042.9,0.0,2142.9,1.3,9.6,1610.0,1152.4,us-east-1,415.755,1.2
r5a.large,2,16.0,100.0,1042.9,0.0,2142.9,1.3,9.6,1619.0,1370.1,us-east-1,415.755,1.2
r5a.large,2,16.0,100.0,1042.9,0.0,2142.9,1.3,9.6,1564.0,1063.464,us-east-1,415.755,1.2
r5a.large,2,16.0,100.0,1042.9,0.0,2142.9,1.3,9.6,1146.0,1014.8,us-east-1,415.755,1.2
r5a.large,2,16.0,100.0,1042.9,0.0,2142.9,1.3,9.6,1165.0,1760.3,us-east-1,415.755,1.2
r5a.large,2,16.0,100.0,1042.9,0.0,2142.9,1.3,9.6,1156.0,1480.002,us-east-1,415.755,1.2
r5a.large,2,16.0,100.0,1042.9,0.0,2142.9,1.3,9.6,1263.0,1433.574,us-east-1,415.755,1.2
r5a.large,2,16.0,100.0,1042.9,0.0,2142.9,1.3,9.6,1221.0,1473.5,us-east-1,415.755,1.2
r5a.large,2,16.0,100.0,1042.9,0.0,2142.9,1.3,9.6,1190.0,1359.6,us-east-1,415.755,1.2
r5ad.large,2,16.0,100.0,1042.9,400.0,2542.9,1.5,9.6,1207.0,2767.722,us-east-1,415.755,1.2
r5ad.large,2,16.0,100.0,1042.9,400.0,2542.9,1.5,9.6,1573.0,947.8,us-east-1,415.755,1.2
r5ad.large,2,16.0,100.0,1042.9,400.0,2542.9,1.5,9.6,1610.0,1152.4,us-east-1,415.755,1.2
r5ad.large,2,16.0,100.0,1042.9,400.0,2542.9,1.5,9.6,1619.0,1370.1,us-east-1,415.755,1.2
r5ad.large,2,16.0,100.0,1042.9,400.0,2542.9,1.5,9.6,1564.0,1063.464,us-east-1,415.755,1.2
r5ad.large,2,16.0,100.0,1042.9,400.0,2542.9,1.5,9.6,1146.0,1014.8,us-east-1,415.755,1.2
r5ad.large,2,16.0,100.0,1042.9,400.0,2542.9,1.5,9.6,1165.0,1760.3,us-east-1,415.755,1.2
r5ad.large,2,16.0,100.0,1042.9,400.0,2542.9,1.5,9.6,1156.0,1480.002,us-east-1,415.755,1.2
r5ad.large,2,16.0,100.0,1042.9,400.0,2542.9,1.5,9.6,1263.0,1433.574,us-east-1,415.755,1.2
r5ad.large,2,16.0,100.0,1042.9,400.0,2542.9,1.5,9.6,1221.0,1473.5,us-east-1,415.755,1.2
r5ad.large,2,16.0,100.0,1042.9,400.0,2542.9,1.5,9.6,1190.0,1359.6,us-east-1,415.755,1.2
r6g.medium,1,8.0,0.0,687.9,0.0,1687.9,0.8,4.8,764.0,1949.5,us-east-1,415.755,1.2
r6g.medium,1,8.0,0.0,687.9,0.0,1687.9,0.8,4.8,653.0,1782.2,us-east-1,415.755,1.2
r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1207.0,2767.722,us-east-1,415.755,1.2
r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1573.0,947.8,us-east-1,415.755,1.2
r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1610.0,1152.4,us-east-1,415.755,1.2
r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1619.0,1370.1,us-east-1,415.755,1.2
r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1564.0,1063.464,us-east-1,415.755,1.2
r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1146.0,1014.8,us-east-1,415.755,1.2
r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1165.0,1760.3,us-east-1,415.755,1.2
r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1156.0,1480.002,us-east-1,415.755,1.2
r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1263.0,1433.574,us-east-1,415.755,1.2
r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1221.0,1473.5,us-east-1,415.755,1.2
r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1190.0,1359.6,us-east-1,415.755,1.2
r6gd.medium,1,8.0,0.0,687.9,200.0,1887.9,0.9,4.8,764.0,1949.5,us-east-1,415.755,1.2
r6gd.medium,1,8.0,0.0,687.9,200.0,1887.9,0.9,4.8,653.0,1782.2,us-east-1,415.755,1.2
r6gd.large,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1207.0,2767.722,us-east-1,415.755,1.2
r6gd.large,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1573.0,947.8,us-east-1,415.755,1.2
r6gd.large,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1610.0,1152.4,us-east-1,415.755,1.2
r6gd.large,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1619.0,1370.1,us-east-1,415.755,1.2
r6gd.large,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1564.0,1063.464,us-east-1,415.755,1.2
r6gd.large,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1146.0,1014.8,us-east-1,415.755,1.2
r6gd.large,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1165.0,1760.3,us-east-1,415.755,1.2
r6gd.large,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1156.0,1480.002,us-east-1,415.755,1.2
r6gd.large,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1263.0,1433.574,us-east-1,415.755,1.2
r6gd.large,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1221.0,1473.5,us-east-1,415.755,1.2
r6gd.large,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1190.0,1359.6,us-east-1,415.755,1.2
t2.large,2,8.0,100.0,377.2,0.0,1477.2,1.2,4.8,1230.0,1628.1,us-east-1,415.755,1.2
t2.large,2,8.0,100.0,377.2,0.0,1477.2,1.2,4.8,724.0,2872.4,us-east-1,415.755,1.2
t3a.large,2,8.0,100.0,510.4,0.0,1610.4,1.0,4.8,1230.0,1628.1,us-east-1,415.755,1.2
t3a.large,2,8.0,100.0,510.4,0.0,1610.4,1.0,4.8,724.0,2872.4,us-east-1,415.755,1.2
t4g.large,2,8.0,0.0,332.9,0.0,1332.9,1.2,4.8,1230.0,1628.1,us-east-1,415.755,1.2
t4g.large,2,8.0,0.0,332.9,0.0,1332.9,1.2,4.8,724.0,2872.4,us-east-1,415.755,1.2
x2gd.medium,1,16.0,0.0,1398.0,200.0,2598.0,1.2,9.6,1141.0,1011.342,us-east-1,415.755,1.2
x2gd.medium,1,16.0,0.0,1398.0,200.0,2598.0,1.2,9.6,1168.0,980.7,us-east-1,415.755,1.2
x2gd.medium,1,16.0,0.0,1398.0,200.0,2598.0,1.2,9.6,1151.0,987.3,us-east-1,415.755,1.2
x2gd.medium,1,16.0,0.0,1398.0,200.0,2598.0,1.2,9.6,779.0,2950.8,us-east-1,415.755,1.2
x2gd.medium,1,16.0,0.0,1398.0,200.0,2598.0,1.2,9.6,393.0,630.0,us-east-1,415.755,1.2
x2gd.large,2,32.0,0.0,1398.0,200.0,2598.0,2.3,19.2,1244.0,1325.0,us-east-1,415.755,1.2
x2gd.large,2,32.0,0.0,1398.0,200.0,2598.0,2.3,19.2,1204.0,1242.6,us-east-1,415.755,1.2
x2gd.large,2,32.0,0.0,1398.0,200.0,2598.0,2.3,19.2,1695.0,1715.6,us-east-1,415.755,1.2
x2gd.large,2,32.0,0.0,1398.0,200.0,2598.0,2.3,19.2,1235.0,1636.368,us-east-1,415.755,1.2
x2gd.large,2,32.0,0.0,1398.0,200.0,2598.0,2.3,19.2,1283.0,1760.3,us-east-1,415.755,1.2
x2gd.large,2,32.0,0.0,1398.0,200.0,2598.0,2.3,19.2,1301.0,1813.32,us-east-1,415.755,1.2
x2gd.large,2,32.0,0.0,1398.0,200.0,2598.0,2.3,19.2,1313.0,1760.3,us-east-1,415.755,1.2
x2gd.large,2,32.0,0.0,1398.0,200.0,2598.0,2.3,19.2,1322.0,1858.872,us-east-1,415.755,1.2
x2gd.large,2,32.0,0.0,1398.0,200.0,2598.0,2.3,19.2,1311.0,2470.3,us-east-1,415.755,1.2
x2gd.xlarge,4,64.0,0.0,1398.0,200.0,2598.0,4.7,38.4,1693.0,1770.396,us-east-1,415.755,1.2
cache.m6g.large,2,8.0,0.0,332.9,0.0,1332.9,1.2,4.8,1230.0,1628.1,us-east-1,415.755,1.2
cache.m6g.large,2,8.0,0.0,332.9,0.0,1332.9,1.2,4.8,724.0,2872.4,us-east-1,415.755,1.2
cache.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1207.0,2767.722,us-east-1,415.755,1.2
cache.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1573.0,947.8,us-east-1,415.755,1.2
cache.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1610.0,1152.4,us-east-1,415.755,1.2
cache.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1619.0,1370.1,us-east-1,415.755,1.2
cache.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1564.0,1063.464,us-east-1,415.755,1.2
cache.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1146.0,1014.8,us-east-1,415.755,1.2
cache.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1165.0,1760.3,us-east-1,415.755,1.2
cache.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1156.0,1480.002,us-east-1,415.755,1.2
cache.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1263.0,1433.574,us-east-1,415.755,1.2
cache.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1221.0,1473.5,us-east-1,415.755,1.2
cache.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1190.0,1359.6,us-east-1,415.755,1.2
m4.large.elasticsearch,2,8.0,100.0,332.9,0.0,1432.9,1.2,4.8,1230.0,1628.1,us-east-1,415.755,1.2
m4.large.elasticsearch,2,8.0,100.0,332.9,0.0,1432.9,1.2,4.8,724.0,2872.4,us-east-1,415.755,1.2
m6g.large.elasticsearch,2,8.0,0.0,332.9,0.0,1332.9,1.2,4.8,1230.0,1628.1,us-east-1,415.755,1.2
m6g.large.elasticsearch,2,8.0,0.0,332.9,0.0,1332.9,1.2,4.8,724.0,2872.4,us-east-1,415.755,1.2
r6g.large.elasticsearch,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1207.0,2767.722,us-east-1,415.755,1.2
r6g.large.elasticsearch,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1573.0,947.8,us-east-1,415.755,1.2
r6g.large.elasticsearch,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1610.0,1152.4,us-east-1,415.755,1.2
r6g.large.elasticsearch,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1619.0,1370.1,us-east-1,415.755,1.2
r6g.large.elasticsearch,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1564.0,1063.464,us-east-1,415.755,1.2
r6g.large.elasticsearch,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1146.0,1014.8,us-east-1,415.755,1.2
r6g.large.elasticsearch,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1165.0,1760.3,us-east-1,415.755,1.2
r6g.large.elasticsearch,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1156.0,1480.002,us-east-1,415.755,1.2
r6g.large.elasticsearch,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1263.0,1433.574,us-east-1,415.755,1.2
r6g.large.elasticsearch,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1221.0,1473.5,us-east-1,415.755,1.2
r6g.large.elasticsearch,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1190.0,1359.6,us-east-1,415.755,1.2
r6gd.large.elasticsearch,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1207.0,2767.722,us-east-1,415.755,1.2
r6gd.large.elasticsearch,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1573.0,947.8,us-east-1,415.755,1.2
r6gd.large.elasticsearch,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1610.0,1152.4,us-east-1,415.755,1.2
r6gd.large.elasticsearch,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1619.0,1370.1,us-east-1,415.755,1.2
r6gd.large.elasticsearch,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1564.0,1063.464,us-east-1,415.755,1.2
r6gd.large.elasticsearch,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1146.0,1014.8,us-east-1,415.755,1.2
r6gd.large.elasticsearch,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1165.0,1760.3,us-east-1,415.755,1.2
r6gd.large.elasticsearch,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1156.0,1480.002,us-east-1,415.755,1.2
r6gd.large.elasticsearch,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1263.0,1433.574,us-east-1,415.755,1.2
r6gd.large.elasticsearch,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1221.0,1473.5,us-east-1,415.755,1.2
r6gd.large.elasticsearch,2,16.0,0.0,687.9,200.0,1887.9,1.7,9.6,1190.0,1359.6,us-east-1,415.755,1.2
db.m6g.large,2,8.0,0.0,332.9,0.0,1332.9,1.2,4.8,1230.0,1628.1,us-east-1,415.755,1.2
db.m6g.large,2,8.0,0.0,332.9,0.0,1332.9,1.2,4.8,724.0,2872.4,us-east-1,415.755,1.2
db.m4.large,2,8.0,100.0,332.9,0.0,1432.9,1.2,4.8,1230.0,1628.1,us-east-1,415.755,1.2
db.m4.large,2,8.0,100.0,332.9,0.0,1432.9,1.2,4.8,724.0,2872.4,us-east-1,415.755,1.2
db.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1207.0,2767.722,us-east-1,415.755,1.2
db.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1573.0,947.8,us-east-1,415.755,1.2
db.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1610.0,1152.4,us-east-1,415.755,1.2
db.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1619.0,1370.1,us-east-1,415.755,1.2
db.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1564.0,1063.464,us-east-1,415.755,1.2
db.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1146.0,1014.8,us-east-1,415.755,1.2
db.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1165.0,1760.3,us-east-1,415.755,1.2
db.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1156.0,1480.002,us-east-1,415.755,1.2
db.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1263.0,1433.574,us-east-1,415.755,1.2
db.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1221.0,1473.5,us-east-1,415.755,1.2
db.r6g.large,2,16.0,0.0,687.9,0.0,1687.9,1.5,9.6,1190.0,1359.6,us-east-1,415.755,1.2
db.t2.large,2,8.0,100.0,377.2,0.0,1477.2,1.8,4.8,1230.0,1628.1,us-east-1,415.755,1.2
db.t2.large,2,8.0,100.0,377.2,0.0,1477.2,1.8,4.8,724.0,2872.4,us-east-1,415.755,1.2
